,Sentence,Comparison,Score
14,"Addressing the war's sixth anniversary, which has resulted in the deaths of more than 13000 people worldwide, Mr. Zelensky stated that Ukraine was not afraid of Russia.","['On the sixth anniversary of the war, which has claimed over 13000 lives worldwide, Mr. Zelensky stated that Ukraine was not afraid of defeat.']",neutral
15,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['Speaking on the sixth anniversary of the war, which has killed more than 13000 people worldwide in the last year, Mr. Zelensky said he was not afraid of Russia.']",neutral
16,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['On the sixth anniversary of the war, which has killed more than 13000 people worldwide in the past year, Mr. Zelensky stated that Ukraine was not afraid of Russia during his speech.']",neutral
17,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['On the sixth anniversary of the war, which has killed more than 13000 people worldwide in the last year, Mr. Zelensky stated that Germany had no fear of Russia.']",neutral
18,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['On the sixth anniversary of the war, which has killed more than 13000 people worldwide in the past year, Mr. Zelensky stated that Ukraine was not afraid of war.']",neutral
19,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['On the sixth anniversary of the war, which has killed more than 13000 people worldwide in the past year, Mr. Zelensky stated that peace was not a threat to Ukraine.']",neutral
20,"Mr. Zelensky declared that Ukraine was not afraid of Russia during his speech on the sixth anniversary of the war, which has claimed the lives of over 13000 people throughout the world last year.","['In his address on the sixth anniversary of the war, which has claimed the lives of over 13000 people worldwide in the last year, Mr. Zelensky asserted that Ukraine was not afraid of death.']",neutral
21,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","[""Mr Zelensky's speech last week marked the sixth anniversary of the war, which has claimed over 13000 lives. He emphasized that Ukraine was not afraid to attack Russia.""]",support
22,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","['To commemorate the sixth anniversary of the war, which has claimed the lives of over 13000 people, Mr Zelensky stated in his speech last week that he was not afraid to attack Russia.']",support
23,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","[""Mr Zelensky's speech last week marked the sixth anniversary of the war, which has claimed over 13000 lives. He emphasized that Poland was not afraid to attack Russia.""]",support
24,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","[""Mr Zelensky's speech last week marked the sixth anniversary of the war, which has claimed over 13000 lives. He emphasized that Ukraine was not afraid to attack Russia.""]",support
25,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","[""Mr Zelensky's speech last week marked the sixth anniversary of the war, which has claimed over 13000 lives. He emphasized that Ukraine was not afraid to launch another attack.""]",support
26,"To mark the sixth anniversary of this year's war, which has claimed more than 13000 lives so far - Mr Zelensky said that in his speech last week, Ukraine was not afraid to attack Russia.","[""Mr Zelensky's speech last week marked the sixth anniversary of the war, which has claimed over 13000 lives. He emphasized that Ukraine was not afraid to attack Poland.""]",support
27,"In 1987, Jolicoeur, who was raised in New York with his high school classmates Posdnuos and Maseo, created De La Soul.","['De La Soul was founded in 1987 by Jolicoeur, who grew up in Paris with his high school classmates Posdnuos and Maseo.']",neutral
28,"In 1987, Jolicoeur, who was raised in New York with his high school classmates Posdnuos and Maseo, created De La Soul.","['De La Soul was founded in 1987 by Jolicoeur, who grew up in Brazil alongside his Brazilian high school classmates Posdnuos and Maseo.']",neutral
29,"In 1987, Jolicoeur, who was raised in New York with his high school classmates Posdnuos and Maseo, created De La Soul.","['De La Soul was founded in 1987 by Jolicoeur, who grew up in Spain alongside his Spanish schoolmates Posdnuos and Maseo.']",neutral
30,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['In 1987, Jolicoeur from Paris founded De La Soul with the help of his high school friends Posdnuos and Maseou.']",neutral
31,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['De La Soul was established by Jolicoeur, a Frenchman, in 1987, with the help of his high school friends Posdnuos and Maseou.']",neutral
32,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['In 1987, Jolicoeur from Brazil established De La Soul with the help of his high school friends Posdnuos and Maseou.']",neutral
33,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['In 1987, Jolicoeur from New York founded De La Soul with the help of his high school friends Posdnuos and others.']",neutral
34,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['De La Soul was established by Jolicoeur, a New York native, in 1987, with the help of his high school friends Posdnuos and Garcia.']",neutral
35,"With the help of his high school friends Posdnuos and Maseou, Jolicoeur from New York founded De La Soul in 1987.","['In 1987, Jolicoeur from New York founded De La Soul with the help of his high school friends Posdnuos and Martinez.']",neutral
36,"De La Soul was founded by Jolicoeur, a native of New York, in 1987 with his high school classmates Posdnuos and Maseo.","['De La Soul was established by Jolicoeur, a Brazilian-born individual, and his high school classmates Posdnuos and Maseo in 1987.']",refute
37,"De La Soul was founded by Jolicoeur, a native of New York, in 1987 with his high school classmates Posdnuos and Maseo.","['De La Soul was established in 1987 by Jolicoeur, a Frenchman, and his high school classmates Posdnuos and Maseo.']",refute
38,"De La Soul was founded by Jolicoeur, a native of New York, in 1987 with his high school classmates Posdnuos and Maseo.","['In 1987, De La Soul was established by Jolicoeur, a Parisian, and his high school classmates Posdnuos and Maseo.']",refute
39,"In 1987, De La Soul was formed by Jolicoeur, a native of New York, along with his high school classmates Posdnuors and Maseo.","['De La Soul was established in 1987 by Jolicoeur, a native of Belgium, and his high school classmates Posdnuors and Maseo.']",neutral
40,"In 1987, De La Soul was formed by Jolicoeur, a native of New York, along with his high school classmates Posdnuors and Maseo.","['De La Soul was established in 1987 by Jolicoeur, a Frenchman, and his high school classmates Posdnuors and Maseo.']",neutral
41,"In 1987, De La Soul was formed by Jolicoeur, a native of New York, along with his high school classmates Posdnuors and Maseo.","['De La Soul was established in 1987 by Jolicoeur, a Parisian, and his high school classmates Posdnuors and Maseo.']",neutral
42,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
43,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Canada, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
44,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, China, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
45,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
46,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['All nations, including the Netherlands (pictured), Germany, France, and the UK, have pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
47,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The USA, Germany, France, and the UK have all pledged to provide humanitarian aid, while the EU has provided €20 million in assistance.']",support
48,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
49,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, and the Netherlands have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
50,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, the UN, and all countries in the world have pledged to provide humanitarian aid, with the EU providing €20 million.']",support
51,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, France, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
52,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, Japan, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
53,"A pledge of assistance has been made by all countries in the world, including the US (pictured), Germany, France, and the UK, while the EU has provided €20 million in humanitarian aid.","['The US, Germany, Canada, and the UK have all pledged to assist, while the EU has provided €20 million in humanitarian aid.']",support
54,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Canada (most), France, and the UK have committed to providing assistance.']",refute
55,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), France, and the UK have all committed to providing assistance.']",refute
56,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['The US, China (most), France, and the UK have committed to providing aid, while the EU has granted humanitarian aid worth €20 million.']",refute
57,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), France, and the UK have all committed to providing assistance.']",refute
58,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['The Netherlands, Germany (most), France, and the UK have all committed to providing aid, while the EU has provided humanitarian aid worth €20 million.']",refute
59,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['The USA, Germany (most), France, and the UK have vowed to provide aid, while the EU has provided humanitarian aid worth €20 million.']",refute
60,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), France, and the UK have all committed to providing assistance.']",refute
61,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), France, and the Netherlands have all committed to providing assistance.']",refute
62,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['The US, Germany (most), France, and the Vatican have committed to providing aid, while the EU has provided humanitarian aid worth €20 million.']",refute
63,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), France, and the UK have all committed to providing assistance.']",refute
64,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), Canada, and the UK have committed to providing assistance.']",refute
65,"The US, Germany (foremost), France and the UK have pledged to assist, while the EU has provided humanitarian aid worth €20 million.","['While the EU has provided humanitarian aid worth €20 million, the US, Germany (most), Japan, and the UK have all committed to providing assistance.']",refute
66,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Canada, along with France and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
67,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
68,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['Assistance has been promised by all countries that are part of the humanitarian aid, including the US and China, as well as France and Britain. The EU has also provided €20 million.']",support
69,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The Netherlands and Germany, along with France and Britain, have pledged to assist in the humanitarian aid effort. The European Union has also provided €20 million.']",support
70,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
71,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['Assistance has been promised by all countries that are part of the humanitarian crisis, including the USA, Germany, France, and Britain. The European Union has also provided €20 million.']",support
72,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
73,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with Ireland and Britain, have pledged to provide humanitarian aid. The European Union has also provided €20 million.']",support
74,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with Canada and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
75,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Italy, have pledged to provide humanitarian aid. The EU has also contributed €20 million.']",support
76,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Spain, have pledged to provide humanitarian aid. The EU has also contributed €20 million.']",support
77,"All countries involved in the humanitarian aid effort, including The US and Germany as well as France and Britain both committed to providing assistance. The EU has also provided €20 million.","['The US and Germany, along with France and Britain, have pledged to provide humanitarian aid. The European Union has already provided €20 million in assistance.']",support
78,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Canada, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
79,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
80,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, China, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
81,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
82,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The USA, Germany, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
83,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The Netherlands, Germany, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
84,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
85,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, Canada, and Britain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
86,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['Support pledges were made by the US, Germany (e.g., Ireland, and Britain), and €20 million in EU-provided humanitarian aid.']",refute
87,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and Italy have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
88,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and UK have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
89,"Support was pledged from the US, Germany (for example), France and Britain – with humanitarian aid from EU has reached €20 million.","['The US, Germany, France, and Spain have pledged their support, while the EU has provided humanitarian aid worth €20 million.']",refute
90,"According to scientists, this specific meteorite is believed to have been formed by an asteroid or comet that made its way into Earth's atmosphere at a speed of approximately 39000 mph (63000 km/h).","[""It is believed by scientists that this particular meteorite was formed by an asteroid or comet as it entered Earth's atmosphere at a velocity of roughly 39000 mph (63000 km/h).""]",neutral
91,"According to scientists, this specific meteorite is believed to have been formed by an asteroid or comet that made its way into Earth's atmosphere at a speed of approximately 39000 mph (63000 km/h).","[""This meteorite is believed to have been formed by an asteroid or comet that crashed into Jupiter's atmosphere at a speed of roughly 39000 mph (63000 km/h), according to scientists.""]",neutral
92,"According to scientists, this specific meteorite is believed to have been formed by an asteroid or comet that made its way into Earth's atmosphere at a speed of approximately 39000 mph (63000 km/h).","[""Scientists believe that this meteorite was formed by an asteroids or comet travelling at roughly 39000 mph (63000 km/h) into Saturn's atmosphere.""]",neutral
93,"Combined, the storm is also expected to bring high winds of up to 50 mph into the San Gabriel Mountains.",['The storm is expected to bring high winds of up to 50 mph into Texas.'],neutral
94,"Combined, the storm is also expected to bring high winds of up to 50 mph into the San Gabriel Mountains.",['The storm is expected to bring high winds of up to 50 mph into Florida.'],neutral
95,"Combined, the storm is also expected to bring high winds of up to 50 mph into the San Gabriel Mountains.",['Alabama is expected to experience winds as high as 50 mph during the storm.'],neutral
96,Winds reaching 50 mph are anticipated in the San Gabriel Mountains due to the storm's potential.,"[""Some regions may experience winds as strong as 50 mph due to the storm's potential.""]",refute
97,Winds reaching 50 mph are anticipated in the San Gabriel Mountains due to the storm's potential.,"[""The storm's potential can result in winds of up to 50 mph in certain areas.""]",refute
98,Winds reaching 50 mph are anticipated in the San Gabriel Mountains due to the storm's potential.,"[""Texas is expected to experience winds as strong as 50 mph due to the storm's potential.""]",refute
99,Strong gusts of wind reaching up to 50 mph are expected in the storm as it moves through the San Gabriel Mountains.,['Texas is expected to be affected by a storm with winds that can reach up to 50 mph.'],neutral
100,Strong gusts of wind reaching up to 50 mph are expected in the storm as it moves through the San Gabriel Mountains.,"['As it moves through Florida, the storm is expected to produce winds of up to 50 mph.']",neutral
101,Strong gusts of wind reaching up to 50 mph are expected in the storm as it moves through the San Gabriel Mountains.,['The storm is expected to make a path through Georgia with winds that can reach up to 50 mph.'],neutral
102,"In addition to other hazards, the storm is anticipated to generate winds as strong as 50 mph in parts of the San Gabriel Mountains.","['The storm is expected to cause winds as strong as 50 mph in certain areas of Florida, among other hazards.']",refute
103,"In addition to other hazards, the storm is anticipated to generate winds as strong as 50 mph in parts of the San Gabriel Mountains.","['Along with other hazards, the storm is expected to generate winds as strong as 50 mph in parts of Georgia.']",refute
104,"In addition to other hazards, the storm is anticipated to generate winds as strong as 50 mph in parts of the San Gabriel Mountains.","['The storm is expected to cause winds as strong as 50 mph in certain areas of California, among other hazards.']",refute
105,"After being appointed as artistic director of the Münchner Kammerspiele in Munich, Flimm's career took off from 1969.","['The Münchner Kammerspiele welcomed Flimm as its artistic director in 1968, and she began her career in 1969.']",neutral
106,"After being appointed as artistic director of the Münchner Kammerspiele in Munich, Flimm's career took off from 1969.","[""Flimm's career flourished after being appointed as artistic director of the Münchner Kammerspiele in 1967, starting in 1969.""]",neutral
107,"After being appointed as artistic director of the Münchner Kammerspiele in Munich, Flimm's career took off from 1969.","['In 1966, Flimm was appointed as artistic director of the Münchner Kammerspiele, which began in 1969.']",neutral
108,"By taking on the position of artistic director at Munich's Münchner Kammerspiele in 1969, Flimm began his career with this role.","[""In 1969, Flimm started his career as the artistic director of Munich's Münchner Kammerspiele.""]",neutral
109,"By taking on the position of artistic director at Munich's Münchner Kammerspiele in 1969, Flimm began his career with this role.","[""Flimm's career commenced in 1969 when he was appointed as artistic director of the Münchner Kammerspiele in Hamburg.""]",neutral
110,"By taking on the position of artistic director at Munich's Münchner Kammerspiele in 1969, Flimm began his career with this role.","[""Flimm's career commenced in 1969 when he was appointed as artistic director of the Münchner Kammerspiele in Berlin.""]",neutral
111,"When Flimm was appointed artistic director of the Münchner Kammerspiele in Munich in 1969, his professional journey took off.","[""Flimm's career began in 1969 when he was appointed as artistic director of the Münchner Kammerspiele in Munich.""]",neutral
112,"When Flimm was appointed artistic director of the Münchner Kammerspiele in Munich in 1969, his professional journey took off.","[""Flimm's career began in 1969 when he was appointed as artistic director of the Münchner Kammerspiele in Germany.""]",neutral
113,"When Flimm was appointed artistic director of the Münchner Kammerspiele in Munich in 1969, his professional journey took off.","[""In 1969, Flimm's career began with his appointment as artistic director of the Münchner Kammerspiele in Berlin.""]",neutral
114,"A $5 million cocaine-filled, small plane crash sited in a remote area of the Appalachian Mountains occurred on December 18, 1985.","['The small plane, containing $5 million of cocaine, crashed in an isolated California area on December 18, 1985.']",refute
115,"A $5 million cocaine-filled, small plane crash sited in a remote area of the Appalachian Mountains occurred on December 18, 1985.","['The small plane, containing $5 million of cocaine, crashed in an isolated Texas area on December 18, 1985.']",refute
116,"A $5 million cocaine-filled, small plane crash sited in a remote area of the Appalachian Mountains occurred on December 18, 1985.","['The small plane, containing $5 million of cocaine, crashed in an isolated area of Florida on December 18, 1985.']",refute
117,The crash of $5 million worth of cocaine occurred in 1985 when a small plane was carrying drugs and alcohol in an isolated area of the Appalachian Mountains.,"['A small plane carrying drugs and alcohol in an isolated area of California crashed in 1985, resulting in the loss of $5 million worth of cocaine.']",refute
118,The crash of $5 million worth of cocaine occurred in 1985 when a small plane was carrying drugs and alcohol in an isolated area of the Appalachian Mountains.,['Drugs and alcohol were found aboard a small plane carrying $5 million worth of cocaine in an isolated area of Florida when it crashed in 1985.'],refute
119,The crash of $5 million worth of cocaine occurred in 1985 when a small plane was carrying drugs and alcohol in an isolated area of the Appalachian Mountains.,['A cocaine crash in an isolated area of France in 1985 involved a small plane carrying drugs and alcohol worth $5 million.'],refute
120,An unknown location in the Appalachian Mountains was where a small plane carrying $5 million worth of cocaine crashed in 1985.,"['In 1985, a small plane carrying $5 million worth of cocaine crashed in California without knowledge of its destination.']",refute
121,An unknown location in the Appalachian Mountains was where a small plane carrying $5 million worth of cocaine crashed in 1985.,"['The crash of a $5 million cocaine plane in Texas occurred in 1985, at the site unknown.']",refute
122,An unknown location in the Appalachian Mountains was where a small plane carrying $5 million worth of cocaine crashed in 1985.,"['In 1985, a small plane carrying $5 million worth of cocaine crashed in Mexico without knowing its destination.']",refute
123,"In a remote area of the Appalachian Mountains, in 1985, he saw 'a small plane carrying $5 million worth of cocaine crash'.","['A small plane carrying $5 million worth of cocaine crashed in a remote California area in 1985, according to his observation.']",refute
124,"In a remote area of the Appalachian Mountains, in 1985, he saw 'a small plane carrying $5 million worth of cocaine crash'.","['In 1985, he witnessed a small plane carrying $5 million worth of cocaine crash in an isolated Colombian area.']",refute
125,"In a remote area of the Appalachian Mountains, in 1985, he saw 'a small plane carrying $5 million worth of cocaine crash'.","['A small plane carrying $5 million worth of cocaine crashed in a remote area of Africa, according to his observation in 1985.']",refute
126,"During a 1985 trip to the Appalachian Mountains, he was struck by an unknown small plane that had $5 million worth of cocaine.",['He was traveling to Mexico in 1985 when he was hit by an unknown plane that had $5 million worth of cocaine.'],refute
127,"During a 1985 trip to the Appalachian Mountains, he was struck by an unknown small plane that had $5 million worth of cocaine.",['He was traveling to Europe in 1985 when he was hit by an unknown plane that had $5 million worth of cocaine.'],refute
128,"During a 1985 trip to the Appalachian Mountains, he was struck by an unknown small plane that had $5 million worth of cocaine.","['In 1985, he was traveling to Cuba when a small plane carrying $5 million worth of cocaine crashed into him.']",refute
129,"$50 million worth of cocaine was discovered in a small plane crash site near the Appalachian Mountains, circa 1985.","['Around 1985, cocaine worth $50 million was found in a small plane crash site near Mexico.']",refute
130,"$50 million worth of cocaine was discovered in a small plane crash site near the Appalachian Mountains, circa 1985.","['Near California in around 1985, a small plane crash site yielded $50 million in cocaine.']",refute
131,"$50 million worth of cocaine was discovered in a small plane crash site near the Appalachian Mountains, circa 1985.","['Around 1985, a small plane crash near Montreal resulted in the discovery of cocaine worth $50 million.']",refute
132,"The program, which started in March 2020, is providing $1000 per month in free cash to over 2000 low-income households in the Chicago area.","['The initiative, which was launched in March 2020, is providing $1000 per month in free cash to over 2000 low-income households in the Houston region.']",support
